iter	MultiClass
209	0.933683064
210	0.933621366
211	0.9335706107
212	0.9334680015
213	0.9333925656
214	0.9333638863
215	0.9332853025
216	0.9332077807
217	0.933156105
218	0.9330804825
219	0.9330029577
220	0.9329615101
221	0.9329031651
222	0.9328339654
223	0.9328026601
224	0.9327457093
225	0.9326738863
226	0.932633713
227	0.9325679551
228	0.9325101448
229	0.9324738313
230	0.9324034615
231	0.9323562833
232	0.9322900445
233	0.9322281808
234	0.9321367353
235	0.9320897719
236	0.9320053959
237	0.9319188272
238	0.9318118404
239	0.931769226
240	0.9317214334
241	0.9316345036
242	0.9315513475
243	0.9314908105
244	0.9314195326
245	0.9313719817
246	0.9312976166
247	0.9312505651
248	0.9311884817
249	0.9311397567
250	0.9310711731
251	0.9310286601
252	0.9309578288
253	0.9308710117
254	0.9308267845
255	0.9307821778
256	0.9307426116
257	0.9306987777
258	0.9306280196
259	0.9305637932
260	0.9305015208
261	0.9304551985
262	0.930388625
263	0.9303283169
264	0.9302645998
265	0.9302051442
266	0.9301571691
267	0.9300708839
268	0.9300175012
269	0.9299016718
270	0.9298462886
271	0.9298180894
272	0.9297756013
273	0.929724089
274	0.9296813147
275	0.9296230636
276	0.929581506
277	0.9295499487
278	0.9295083303
279	0.9294562003
280	0.9293996035
281	0.9293592076
282	0.9293175949
283	0.9292833562
284	0.9292248062
285	0.9291727668
286	0.9291190631
287	0.9290925858
288	0.9290704816
289	0.9290138957
290	0.9289686308
291	0.9288924317
292	0.9288579443
293	0.9288146202
294	0.9287725605
295	0.9287195097
296	0.9286589855
297	0.9286186982
298	0.9285621583
299	0.9285326504
300	0.9284689852
301	0.9284074311
302	0.9283593857
303	0.9283203014
304	0.928286059
305	0.9282387547
306	0.9281636783
307	0.9281177472
308	0.9280515738
309	0.9280241586
310	0.927980718
311	0.9279332285
312	0.9278820971
313	0.9278539638
314	0.9278116728
315	0.927712048
316	0.9276724946
317	0.9276252848
318	0.9275628183
319	0.9275338992
320	0.927479061
321	0.9274311664
322	0.9273847879
323	0.9273338991
324	0.9273013806
325	0.927259746
326	0.9271938419
327	0.9271453521
328	0.9270969188
329	0.9270353396
330	0.9269630219
331	0.9268809637
332	0.9268390331
333	0.9267805488
334	0.9267442668
335	0.9266936644
336	0.9266521941
337	0.9266027858
338	0.9265225016
339	0.9264951464
340	0.9264463617
341	0.9263950427
342	0.9263493628
343	0.9263228892
344	0.9262748868
345	0.9262382178
346	0.9261776387
347	0.926074268
348	0.9260297657
349	0.9260028619
350	0.9259572449
351	0.9259014851
352	0.9258652027
353	0.9258237636
354	0.9257642203
355	0.9257242578
356	0.9256658412
357	0.9256263954
358	0.9255937812
359	0.9255493117
360	0.9254817589
361	0.9254374408
362	0.9253939502
363	0.9253665755
364	0.9252951641
365	0.9252472673
366	0.92520325
367	0.9251669446
368	0.9251175192
369	0.9250648603
370	0.9250250504
371	0.924989423
372	0.9249419285
373	0.9248765118
374	0.9248155104
375	0.9247634509
376	0.924722013
377	0.9246994139
378	0.9246601358
379	0.9246215864
380	0.9245896639
381	0.9245272702
382	0.9244657733
383	0.9244220962
384	0.9243958158
385	0.9243327434
386	0.9242847287
387	0.9242379884
388	0.9241603433
389	0.9241327381
390	0.9240915188
391	0.9240478198
392	0.923994661
393	0.9239552545
394	0.9239224453
395	0.9238927316
396	0.9238596315
397	0.9238194739
398	0.9237760157
399	0.923734744
400	0.9236939056
401	0.9236532614
402	0.9236134539
403	0.9235897933
404	0.9235580271
405	0.9235203574
406	0.9234858705
407	0.9234316058
408	0.9233655208
409	0.923332849
410	0.9232707658
411	0.923215446
412	0.9231802361
413	0.923126865
414	0.9230381429
415	0.9229972048
416	0.9229452577
417	0.9228961267
418	0.9228243859
419	0.9227809904
420	0.922724865
421	0.9226516805
422	0.9226013055
423	0.9225414719
424	0.9224928417
425	0.9224178365
426	0.922334482
427	0.9222831955
428	0.9222478797
429	0.9222313343
430	0.9221866084
431	0.9221451412
432	0.9221069977
433	0.922007635
434	0.9219669151
435	0.9219416984
436	0.9219113712
437	0.921862081
438	0.9218084356
439	0.9216986412
440	0.9216434026
441	0.9215929534
442	0.9215702531
443	0.9215291566
444	0.9215043899
445	0.9214286215
446	0.921382574
447	0.9213583139
448	0.9212970959
449	0.9212409179
450	0.9211848547
451	0.9211503351
452	0.9211032608
453	0.9210692765
454	0.9210210962
455	0.9209812655
456	0.9209531188
457	0.9209069277
458	0.9208593025
459	0.9208344803
460	0.920792452
461	0.9207499216
462	0.9206908496
463	0.9206543568
464	0.9206256085
465	0.9205430166
466	0.9204964401
467	0.920435608
468	0.9203997439
469	0.9203459949
470	0.9203104656
471	0.9202613494
472	0.9202327257
473	0.920189909
474	0.920148802
475	0.920117154
476	0.9200806647
477	0.9200362339
478	0.9199890827
479	0.9199219418
480	0.9198640388
481	0.9198298085
482	0.9197617067
483	0.9197188542
484	0.9196915183
485	0.9196599657
486	0.9196203929
487	0.9195503177
488	0.9195259358
489	0.9194672467
490	0.9194181222
491	0.9193645108
492	0.9193298945
493	0.9192712386
494	0.9192375498
495	0.9191805946
496	0.9191216223
497	0.9190827417
498	0.9190389288
499	0.9189837618
500	0.9189448162
501	0.9188923671
502	0.9188548762
503	0.9188284383
504	0.9188052742
505	0.918762187
506	0.9187161553
507	0.9186880803
508	0.918632875
509	0.9186069573
510	0.9185619538
511	0.9185365471
512	0.9184786925
513	0.9184223572
514	0.9183755357
515	0.9183306535
516	0.9182628266
517	0.9181990502
518	0.9181400253
519	0.9180790451
520	0.9180476323
521	0.9180056206
522	0.9179477757
523	0.917892222
524	0.9178564015
525	0.9178089188
526	0.9177677641
527	0.9177143604
528	0.9176710134
529	0.9176075702
530	0.9175813516
531	0.9175343311
532	0.9175024983
533	0.917448445
534	0.917408159
535	0.917366769
536	0.9173272649
537	0.9172912216
538	0.9172570931
539	0.9171983829
540	0.9171561908
541	0.9171191947
542	0.9170849218
543	0.9170600172
544	0.9170199223
545	0.9169840617
546	0.9169513633
547	0.9169241307
548	0.9168708613
549	0.916847962
550	0.9168101442
551	0.9167821575
552	0.9167460082
553	0.9166896839
554	0.9166137548
555	0.916577947
556	0.9165563331
557	0.9164910855
558	0.9164571174
559	0.9164309732
560	0.9164127568
561	0.9163795652
562	0.9163476461
563	0.9163040677
564	0.9162678271
565	0.9162325078
566	0.9161976236
567	0.9161518041
568	0.916117137
569	0.9160610904
570	0.916014197
571	0.9159775551
572	0.9159369725
573	0.9158914358
574	0.9158401951
575	0.9157989013
576	0.915748893
577	0.9157110682
578	0.915675022
579	0.9156199377
580	0.9155547401
581	0.9155310872
582	0.9154803453
583	0.9154401678
584	0.9154004359
585	0.9153477684
586	0.9153142285
587	0.9152715463
588	0.9152143227
589	0.9151622957
590	0.9151263986
591	0.9150902267
592	0.9150504671
593	0.915022494
594	0.9149828628
595	0.9149420149
596	0.914885523
597	0.9148284492
598	0.9147644594
599	0.9147316924
600	0.9146933939
601	0.9146734244
602	0.9146279419
603	0.9145879562
604	0.9145371564
605	0.9144934889
606	0.9144627298
607	0.9144186262
608	0.9143875873
609	0.9143412175
610	0.9142810497
611	0.9142313997
612	0.9142092491
613	0.9141683574
614	0.9141320959
615	0.9140828304
616	0.9140180457
617	0.9139682486
618	0.9139602601
619	0.9139175832
620	0.9138874268
621	0.9138439283
622	0.9138256658
623	0.9137913718
624	0.9137393924
625	0.9136996436
626	0.9136613241
627	0.9136246696
628	0.9135828666
629	0.9135412548
630	0.9135096541
631	0.9134689326
632	0.9134135118
633	0.91337154
634	0.9133214666
635	0.9132810391
636	0.9132352665
637	0.9131947182
638	0.9131659879
639	0.9131313607
640	0.9130780604
641	0.91306079
642	0.9130202059
643	0.9129687938
644	0.9129327034
645	0.9128876894
646	0.9128139467
647	0.9127660398
648	0.9127147771
649	0.9126644236
650	0.9126356694
651	0.9126072125
652	0.9125530954
653	0.9125175243
654	0.9124652893
655	0.9124371355
656	0.9123820261
657	0.9123558024
658	0.9123172117
659	0.9122702932
660	0.9122331027
661	0.9122008226
662	0.9121556369
663	0.9121103702
664	0.9120791116
665	0.9120447099
666	0.9119875495
667	0.9119514301
668	0.9119232589
669	0.9118970805
670	0.9118634813
671	0.9118284616
672	0.9117932205
673	0.9117470936
674	0.9117030362
675	0.9116533943
676	0.911625318
677	0.9115793133
678	0.911535265
679	0.9114888729
680	0.9114525347
681	0.9114313198
682	0.911391866
683	0.911346406
684	0.9112901537
685	0.9112590595
686	0.9112213195
687	0.9111923863
688	0.9111521168
689	0.9111048486
690	0.9110624418
691	0.9110289148
692	0.9110006873
693	0.9109767113
694	0.9109464541
695	0.9109112513
696	0.9108731972
697	0.9108335681
698	0.9107841287
699	0.9107353913
700	0.9107091017
701	0.9106776884
702	0.9106299071
703	0.9105920408
704	0.9105379587
705	0.9104767894
706	0.9104378246
707	0.9103940553
708	0.9103624425
709	0.9103245528
710	0.9102908174
711	0.9102483557
712	0.9102115978
713	0.910146225
714	0.9101068702
715	0.9100659421
716	0.9100375394
717	0.9100017677
718	0.9099618144
719	0.9099274713
720	0.9098866616
721	0.9098457957
722	0.9098300907
723	0.9097906644
724	0.9097634944
725	0.9097205525
726	0.9096851978
727	0.9096493719
728	0.9096227666
729	0.9095853899
730	0.9095473914
731	0.9095260534
732	0.9094895913
733	0.9094578839
734	0.9094408193
735	0.9093886538
736	0.9093394051
737	0.9093027518
738	0.9092530099
739	0.9092024947
740	0.9091637553
741	0.9091107797
742	0.9090581238
743	0.9090153098
744	0.9089777324
745	0.9089374289
746	0.9089038616
747	0.9088531223
748	0.9088298403
749	0.9087747122
750	0.9087563063
751	0.908723527
752	0.9086950299
753	0.908661347
754	0.9086390054
755	0.908596698
756	0.9085591705
757	0.9085044333
758	0.9084659432
759	0.9084379195
760	0.9084012746
761	0.9083656534
762	0.9083426109
763	0.9083066084
764	0.9082566497
765	0.908230655
766	0.9081971284
767	0.9081490389
768	0.9081010997
769	0.9080628166
770	0.9080251009
771	0.9079813186
772	0.9079316697
773	0.9078919111
774	0.9078556955
775	0.9078118308
776	0.9077784898
777	0.9077466787
778	0.90771483
779	0.9076583723
780	0.9076218711
781	0.9075866529
782	0.9075587421
783	0.9075384253
784	0.9074921738
785	0.9074666515
786	0.9074352573
787	0.9073977667
788	0.9073593714
789	0.9073320987
790	0.9073131505
791	0.9072472717
792	0.9072216932
793	0.9071879066
794	0.9071269632
795	0.907082967
796	0.9070476255
797	0.9070338502
798	0.9069868756
799	0.9069515981
800	0.906911312
801	0.906880443
802	0.906851491
803	0.9068062129
804	0.9067648485
805	0.906722598
806	0.9066794995
807	0.9066328496
808	0.906595626
809	0.9065460971
810	0.9065123694
811	0.9064889169
812	0.9064368045
813	0.9063882667
814	0.9063288507
815	0.9062900651
816	0.9062639024
817	0.9062295801
818	0.9061959155
819	0.9061531795
820	0.9061081329
821	0.9060555648
822	0.9060301995
823	0.905999642
824	0.9059816846
825	0.9059558866
826	0.9058972928
827	0.9058469955
828	0.9058205442
829	0.9057879329
830	0.9057542259
831	0.9057188519
832	0.9056800532
833	0.9056279526
834	0.9056047715
835	0.9055666962
836	0.9055285943
837	0.9054834601
838	0.9054683616
839	0.9054532983
840	0.9054040086
841	0.9053785946
842	0.9053570817
843	0.9053211165
844	0.905304206
845	0.9052689134
846	0.9052212102
847	0.9052054902
848	0.9051707317
849	0.9051441761
850	0.9051036765
851	0.9050713346
852	0.9050411316
853	0.9049981019
854	0.9049612016
855	0.9049229575
856	0.9048748983
857	0.9048369914
858	0.9048074525
859	0.904765944
860	0.9047288043
861	0.9047045913
862	0.9046842213
863	0.9046347173
864	0.9046141861
865	0.9045703474
866	0.9045441977
867	0.9045155552
868	0.9044850958
869	0.9044492464
870	0.9044032019
871	0.9043820194
872	0.9043587953
873	0.9043143847
874	0.9042919986
875	0.9042692833
876	0.9042465082
877	0.9042046319
878	0.9041488061
879	0.9041118625
880	0.9040805116
881	0.9040616354
882	0.9040205973
883	0.9039848341
884	0.9039699748
885	0.9039462846
886	0.9039057317
887	0.9038770775
888	0.9038421376
889	0.9037983557
890	0.9037498564
891	0.9037089994
892	0.9036786191
893	0.9036420716
894	0.9036010484
895	0.903561774
896	0.9035165271
897	0.9034722471
898	0.903438681
899	0.9034086167
900	0.9033683025
901	0.9033165861
902	0.9032906373
903	0.9032542842
904	0.9031889836
905	0.9031430374
906	0.9030989403
907	0.9030541037
908	0.90302968
909	0.9029848247
910	0.9029665028
911	0.9029054027
912	0.9028603744
913	0.902834096
914	0.9028033712
915	0.9027610654
916	0.9027122243
917	0.902669236
918	0.9026235478
919	0.9025891278
920	0.9025504753
921	0.9025143965
922	0.9024795401
923	0.9024181781
924	0.9023743927
925	0.9023374159
926	0.9022938139
927	0.9022479567
928	0.902227215
929	0.9021990582
930	0.9021675447
931	0.9021393253
932	0.9021156836
933	0.9020791808
934	0.9020522356
935	0.9020211359
936	0.9019809083
937	0.9019351434
938	0.9019185725
939	0.9018958967
940	0.9018574418
941	0.9018235305
942	0.9017792204
943	0.9017508458
944	0.901733169
945	0.9016971936
946	0.901660561
947	0.9016214073
948	0.9016013283
949	0.9015703392
950	0.9015399792
951	0.9015139279
952	0.9014816693
953	0.9014529792
954	0.9014191583
955	0.9013822263
956	0.9013575727
957	0.9013075946
958	0.9012736948
959	0.9012337239
960	0.901184257
961	0.9011465782
962	0.9011217457
963	0.9010802248
964	0.9010379594
965	0.901000449
966	0.9009703329
967	0.900924422
968	0.9008834711
969	0.9008426362
970	0.9008336234
971	0.9007943185
972	0.9007609817
973	0.9007281845
974	0.9006910074
975	0.9006609382
976	0.900634232
977	0.9005927464
978	0.900546256
979	0.9005238048
980	0.9004938692
981	0.9004534303
982	0.9004314846
983	0.9004038227
984	0.90037171
985	0.9003393849
986	0.9002976131
987	0.9002640802
988	0.9002381047
989	0.9001972509
990	0.9001549349
991	0.9001245047
992	0.9001053486
993	0.9000592268
994	0.9000198429
995	0.8999829677
996	0.899954884
997	0.8998943695
998	0.8998650402
999	0.8998343894
